2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
I Like It - Sammie,You Shouldn't Kiss Me Like This - Toby Keith,A New Day Has Come - Celine Dion,"No Shoes, No Shirt, No Problems - Kenny Chesney",Change Clothes - Jay-Z,O - Omarion,Hung Up - Madonna,Snow (Hey Oh) - Red Hot Chili Peppers,Mrs. Officer - Lil Wayne featuring Bobby Valentino and Kidd Kidd,I Do Not Hook Up - Kelly Clarkson,The House That Built Me - Miranda Lambert,Please Don't Go - Mike Posner,It's Time - Imagine Dragons,Bugatti - Ace Hood featuring Future and Rick Ross,Beachin' - Jake Owen,Heartbeat Song - Kelly Clarkson,Cut It - O.T. Genasis featuring Young Dolph,No Promises - Cheat Codes featuring Demi Lovato,Outside Today - YoungBoy Never Broke Again,Tequila - Dan + Shay,Bluebird - Miranda Lambert,Hell of a View - Eric Church,She Likes It - Russell Dickerson featuring Jake Scott,What My World Spins Around - Jordan Davis,On My Mama - Victoria Monét
24/7 - Kevon Edmonds,Get Over Yourself - Eden's Crush,Turn Off the Light - Nelly Furtado,Come Over - Aaliyah,Don't Tell Me - Avril Lavigne,Back Then - Mike Jones,Stay Fly - Three 6 Mafia featuring Young Buck and 8Ball & MJG,Money Maker - Ludacris featuring Pharrell,7 Things - Miley Cyrus,Green Light - John Legend featuring André 3000,If I Die Young - The Band Perry,Sure Thing - Miguel,Cashin' Out - Cash Out,Wanted - Hunter Hayes,White Walls - Macklemore & Ryan Lewis featuring ScHoolboy Q and Hollis,Don't - Ed Sheeran,Really Really - Kevin Gates,Treat You Better - Shawn Mendes,Trip - Ella Mai,Shotta Flow - NLE Choppa,Wishing Well - Juice Wrld,Rockin' Around the Christmas Tree - Brenda Lee,Never Say Never - Cole Swindell and Lainey Wilson,Ain't That Some - Morgan Wallen,"Yes, And? - Ariana Grande"
Girl on TV - LFO,Dance with Me - Debelah Morgan,Living and Living Well - George Strait,Sick of Being Lonely - Field Mob,You'll Think of Me - Keith Urban,Numb/Encore - Jay-Z and Linkin Park,Love - Keyshia Cole,Kiss Kiss - Chris Brown featuring T-Pain,You're Gonna Miss This - Trace Adkins,People Are Crazy - Billy Currington,The Only Exception - Paramore,Price Tag - Jessie J featuring B.o.B,I Don't Want This Night to End - Luke Bryan,Downtown - Lady Antebellum,She Looks So Perfect - 5 Seconds of Summer,Ghost - Ella Henderson,All In My Head (Flex) - Fifth Harmony featuring Fetty Wap,I Get the Bag - Gucci Mane featuring Migos,Dura - Daddy Yankee,Hot Girl Summer - Megan Thee Stallion featuring Nicki Minaj and Ty Dolla Sign,Does to Me - Luke Combs featuring Eric Church,Put Your Records On - Ritt Momney,Damn Strait - Scotty McCreery,Wild as Her - Corey Kent,Exes - Tate McRae
Bounce with Me - Lil' Bow Wow featuring Xscape,"So Fresh, So Clean - Outkast",My List - Toby Keith,Step in the Name of Love - R. Kelly,Happy People - R. Kelly,Wonderful - Ja Rule featuring R. Kelly and Ashanti,When You're Mad - Ne-Yo,Far Away - Nickelback,Love Remains the Same - Gavin Rossdale,Whatever It Is - Zac Brown Band,American Honey - Lady Antebellum,God Gave Me You - Blake Shelton,Diamonds - Rihanna,Get Your Shine On - Florida Georgia Line,Stay the Night - Zedd featuring Hayley Williams,Here - Alessia Cara,Starving - Hailee Steinfeld and Grey featuring Zedd,Small Town Boy - Dustin Lynch,Changes - XXXTentacion,Talk You Out of It - Florida Georgia Line,Pussy Fairy (OTW) - Jhené Aiko,Happier Than Ever - Billie Eilish,She's All I Wanna Be - Tate McRae,Peaches & Eggplants - Young Nudy featuring 21 Savage,A Holly Jolly Christmas - Burl Ives
Cowboy Take Me Away - Dixie Chicks,E.I. - Nelly,Hands Clean - Alanis Morissette,I Want You - Thalía featuring Fat Joe,Hey Mama - The Black Eyed Peas,I'm Sprung - T-Pain,Why You Wanna - T.I.,Rock Yo Hips - Crime Mob and Lil' Scrappy,Feels Like Tonight - Daughtry,Already Gone - Kelly Clarkson,King of Anything - Sara Bareilles,She Will - Lil Wayne featuring Drake,Hard to Love - Lee Brice,#thatPower - will.i.am featuring Justin Bieber,Partition - Beyoncé,Waves (Robin Schulz Remix) - Mr Probz,Adventure of a Lifetime - Coldplay,Everyday We Lit - YFN Lucci featuring PnB Rock,Mercy - Brett Young,Beautiful - Bazzi featuring Camila Cabello,ILY (I Love You Baby) - Surf Mesa featuring Emilee,Single Saturday Night - Cole Swindell,Last Night Lonely - Jon Pardi,I Wrote the Book - Morgan Wallen,Wind Up Missin' You - Tucker Wetmore
I Don't Wanna - Aaliyah,Be Like That - 3 Doors Down,Sk8er Boi - Avril Lavigne,Like a Stone - Audioslave,Over and Over - Nelly featuring Tim McGraw,Chariot - Gavin DeGraw,Stupid Girls - Pink,LoveStoned - Justin Timberlake,The Way I Are - Timbaland featuring Keri Hilson,Goodbye - Kristinia DeBarge,Life After You - Daughtry,Are You Gonna Kiss Me or Not - Thompson Square,Somethin' 'Bout a Truck - Kip Moore,Brave - Sara Bareilles,Studio - ScHoolboy Q featuring BJ the Chicago Kid,El Perdón - Nicky Jam and Enrique Iglesias,Humble and Kind - Tim McGraw,Havana - Camila Cabello featuring Young Thug,One Number Away - Luke Combs,Eyes on You - Chase Rice,More Than My Hometown - Morgan Wallen,Things a Man Oughta Know - Lainey Wilson,Flower Shops - Ernest featuring Morgan Wallen,"Bzrp Music Sessions, Vol. 53 - Bizarrap and Shakira",Bulletproof - Nate Smith
Independent Women Part I - Destiny's Child,Most Girls - Pink,Long Time Gone - Dixie Chicks,Don't Know Why - Norah Jones,Redneck Woman - Gretchen Wilson,U Already Know - 112 featuring Foxy Brown,Feel Good Inc. - Gorillaz,Better than Me - Hinder,Addicted - Saving Abel,Say Hey (I Love You) - Michael Franti & Spearhead featuring Cherine Anderson,Smile - Uncle Kracker,Animal - Neon Trees,Adorn - Miguel,Let Her Go - Passenger,0 to 100 / The Catch Up - Drake,She Knows - Ne-Yo featuring Juicy J,Wicked - Future,What Lovers Do - Maroon 5 featuring SZA,Powerglide - Rae Sremmurd featuring Juicy J,All to Myself - Dan + Shay,Lovin' on You - Luke Combs,Throat Baby (Go Baby) - BRS Kash,To the Moon - Jnr Choi and Sam Tompkins,Meltdown - Travis Scott featuring Drake,Fe!n - Travis Scott featuring Playboi Carti
Gotta Tell You - Samantha Mumba,Oochie Wally - QB Finest featuring Nas and Bravehearts,Where Were You (When the World Stopped Turning) - Alan Jackson,Superman - Eminem,Just Lose It - Eminem,Mississippi Girl - Faith Hill,I'm Sprung - T-Pain,Paralyzer - Finger Eleven,Into the Night - Santana featuring Chad Kroeger,Pop Champagne - Jim Jones featuring Ron Browz and Juelz Santana,Teach Me How to Dougie - Cali Swag District,You and Tequila - Kenny Chesney featuring Grace Potter,Fly Over States - Jason Aldean,Runnin' Outta Moonlight - Randy Houser,I Don't Dance - Lee Brice,Night Changes - One Direction,Tiimmy Turner - Desiigner,Do Re Mi - Blackbear,IDGAF - Dua Lipa,Boyfriend - Ariana Grande and Social House,Said Sum - Moneybagg Yo,Tombstone - Rod Wave,Unholy - Sam Smith and Kim Petras,Put It on da Floor Again - Latto featuring Cardi B,The Painter - Cody Johnson
Waiting for Tonight - Jennifer Lopez,Hero - Enrique Iglesias,Like I Love You - Justin Timberlake,Real Good Man - Tim McGraw,Letters from Home - John Michael Montgomery,Number One Spot - Ludacris,Do I Make You Proud - Taylor Hicks,That's That - Snoop Dogg featuring R. Kelly,Heaven Sent - Keyshia Cole,Pretty Wings - Maxwell,Try Sleeping with a Broken Heart - Alicia Keys,Colder Weather - Zac Brown Band,Even If It Breaks Your Heart - Eli Young Band,I'm Different - 2 Chainz,Somethin' Bad - Miranda Lambert and Carrie Underwood,Back to Back - Drake,See You Again - Wiz Khalifa featuring Charlie Puth,Look at Me! - XXXTentacion,Mi Gente - J Balvin and Willy William featuring Beyoncé,Walk Me Home - Pink,Slide - H.E.R. featuring YG,Drinkin' Beer. Talkin' God. Amen. - Chase Rice featuring Florida Georgia Line,One Mississippi - Kane Brown,Bloody Mary - Lady Gaga,Down Bad - Taylor Swift
Shackles (Praise You) - Mary Mary,Hemorrhage (In My Hands) - Fuel,I Do!! - Toya,Say Yes - Floetry,I Go Back - Kenny Chesney,Give Me That - Webbie featuring Bun B,For You I Will (Confidence) - Teddy Geiger,Same Girl - R. Kelly featuring Usher,She Got It - 2 Pistols featuring T-Pain and Tay Dizm,Never Say Never - The Fray,"Lover, Lover - Jerrod Niemann",My Last - Big Sean featuring Chris Brown,Burn It Down - Linkin Park,Still Into You - Paramore,Adore You - Miley Cyrus,How Deep Is Your Love - Calvin Harris and Disciples,Perfect - One Direction,The Fighter - Keith Urban featuring Carrie Underwood,Believer - Imagine Dragons,Robbery - Juice Wrld,Walk Em Down - NLE Choppa featuring Roddy Ricch,Todo de Ti - Rauw Alejandro,Circles Around This Town - Maren Morris,Watermelon Moonshine - Lainey Wilson,Dance the Night - Dua Lipa
